CODE,NAME,TOT_P,SANITATION TECH.
1001,Shachokol,640,FSM
1002,Skuru,252,FSM
1003,Chulichan,698,FSM
1004,Batokul (Un-Inhabited),0,FSM
1005,Kangil,283,FSM
1006,Forest Block,1358,SEWREGE
1007,Gulshan Pora (Bagtor),2048,DWARTS
1008,Mastan Kohpri,489,FSM
1009,Nail Kanzalawan,1503,SEWREGE
1010,Nail Kanzalawan,1503,SEWREGE
1011,Dawar,3177,DWARTS
1012,Markoot,1652,SEWREGE
1013,Badwan Wanpora,2613,DWARTS
1014,Shah Pora (Achura Chowrwan),1951,SEWREGE
1015,Khandyal,1179,SEWREGE
1016,Kilshi Pain,963,FSM
1017,Forest Block,6280,DWARTS
1018,Korgbal,596,FSM
1019,Zadigi,437,FSM
1020,Barni,821,FSM
1021,Parana Talel,789,FSM
1022,Dangi Thal,528,FSM
1023,Jurniyal,840,FSM
1024,Forest Block,6280,DWARTS
1025,Bore,0,FSM
1026,Har Duing,1987,SEWREGE
1027,Chunti Wari,2628,DWARTS
1028,Manz Gund,315,FSM
1029,Niru,1520,SEWREGE
1030,Dab Bal,1448,SEWREGE
1031,Badugam,1385,SEWREGE
1032,Khantha Wali(Shalun Bhatta),31,FSM
1033,Saradab,867,FSM
1034,Buglandar,834,FSM
1035,Wazirithal,157,FSM
1036,Keran,2550,DWARTS
1037,Mindiyan,3913,DWARTS
1038,Misri Behak,475,FSM
1039,Dudi,1516,SEWREGE
1040,Husan Gam,467,FSM
1041,Gund Gul Sheikh,338,FSM
1042,Malangam,360,FSM
1043,Mac Hal,1512,SEWREGE
1044,Juma Gund,740,FSM
1045,Baduab,1461,SEWREGE
1046,Patrin,2423,DWARTS
1047,Push Wari,1297,SEWREGE
1048,Lashdat,231,FSM
1049,Kalarooch,25970,DWARTS
1050,Forest Block,376,FSM
1051,Gujran,988,FSM
1052,Hayihama,18446,DWARTS
1053,Manigah,6245,DWARTS
1054,Chuchat Yakma,1985,SEWREGE
1055,Heniskot,282,FSM
1056,Bugna,0,FSM
1057,Abdulin,508,FSM
